id_proyecto_desarrollo,resultado,macro_distrito,distrito_municipal,cantidad_pisos,superficie_legal,superficie_construida,latitude,longitude,gral__patron_de_asentamiento,gral__zona_referencial,par__ale_sub_area_de_lote_edificable,par__altillo,par__amc_sub_area_maxima_a_cubrir_sub_sotano,par__ame_sub_area_maxima_a_edificar_sub_zocalo,par__amf_sub_altura_maxima_de_fachada_sub_sotano,par__amv_sub_area_minima_verde,par__fml_sub_frente_minimo_de_lote,par__fondo,par__lateral_1,par__lateral_2,par__mezzanine,par__nmp_sub_numero_minimo_de_parqueos,par__rme_sub_retiro_minimo_de_edificacion_torre_sub_frontal,par__rme_zocalo_sub_retiro_minimo_de_edificacion_zocalo_sub_frontal,par__semisotano,par__torre,par__voladizo_sub_voladizo_sobre_retiro_frontal,par__zocalo,es_agil,es_ampliacion
9,APROBADO,II - MAXIMILIANO PAREDES,8,6,252.0,1506.54,-16.494508,-68.153771,3C - d8,EL TEJAR,252.0,0,252.0,0.0,1,25.22,12.05,0.0,0.0,0.0,0.0,1,0.0,0.0,0,6,1.0,0,False,True
8,OBSERVADO,II - MAXIMILIANO PAREDES,8,4,0.0,0.0,-16.488731,-68.152314,DESCONOCIDO,DESCONOCIDO,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,False,True
8,APROBADO,V - SUR,18,3,330.0,809.13,-16.521872,-68.088628,4P - d18,IRPAVI PLAYON,271.1,0,0.0,0.0,0,57.75,15.05,0.0,0.0,0.0,0.0,7,0.0,0.0,1,3,0.0,0,False,True
8,APROBADO,V - SUR,18,3,637.74,792.48,-16.542714,-68.084598,4A - d19,CALACOTO,630.0,0,0.0,0.0,0,311.14,18.73,0.0,0.0,0.0,0.0,5,3.86,0.0,1,3,0.0,0,False,True
8,APROBADO,II - MAXIMILIANO PAREDES,8,3,100.0,207.12,-16.494723,-68.151565,3C - d8,CALLAMPAYA,100.0,0,0.0,0.0,0,10.33,3.12,0.0,0.0,0.0,0.0,0,0.0,0.0,0,3,0.0,0,False,True
8,APROBADO,III - PERIFERICA,11,3,176.0,274.89,-16.484452,-68.139869,2 - d11,VINO TINTO,176.0,0,0.0,0.0,0,42.02,8.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,3,0.8,0,False,True
9,APROBADO,II - MAXIMILIANO PAREDES,10,3,168.3,411.12,-16.465941,-68.15322,3 - d10,PURA PURA,168.3,0,0.0,0.0,0,62.46,16.64,0.0,0.0,0.0,0.0,0,0.0,0.0,1,3,0.8,0,False,True
9,APROBADO,I - COTAHUMA,3,15,534.42,3433.11,-16.510094,-68.129658,5Z - d3,SOPOCACHI,448.01,0,448.01,166.79,2,103.93,20.64,3.0,0.0,0.0,0.0,14,4.0,4.0,0,15,0.0,0,False,True
8,APROBADO,V - SUR,21,3,200.0,335.5,-16.521436,-68.103334,3AO - d21,ALTO OBRAJES,200.0,0,0.0,0.0,0,60.51,12.04,0.0,0.0,0.0,0.0,1,2.57,0.0,0,3,0.0,0,False,True
9,APROBADO,IV - SAN ANTONIO,14,4,206.5,449.99,-16.490311,-68.114087,3 - d14,VILLA COPACABANA,164.57,0,0.0,0.0,0,55.34,15.89,0.0,0.0,0.0,0.0,0,6.81,0.0,0,4,0.7,0,False,True
8,OBSERVADO,II - MAXIMILIANO PAREDES,8,4,132.65,0.0,-16.492054,-68.155912,DESCONOCIDO,DESCONOCIDO,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,False,True
8,APROBADO,III - PERIFERICA,12,3,171.5,365.09,-16.484822,-68.126599,2 - d12,MIRAFLORES,171.5,0,0.0,0.0,0,17.9,12.64,0.0,0.0,0.0,0.0,0,0.0,0.0,0,3,0.0,0,False,True
9,APROBADO,IV - SAN ANTONIO,15,3,204.0,565.52,-16.499477,-68.10842,3.R - d15,VILLA SAN ANTONIO,204.0,0,0.0,0.0,0,0.0,12.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,3,0.0,0,False,True
9,OBSERVADO,VII - CENTRO,2,6,200.0,1095.12,-16.495132,-68.123906,DESCONOCIDO,DESCONOCIDO,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,False,True
8,OBSERVADO,II - MAXIMILIANO PAREDES,10,2,160.0,0.0,-16.454065,-68.153454,DESCONOCIDO,DESCONOCIDO,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,False,False
8,APROBADO,V - SUR,18,2,300.0,317.43,-16.532411,-68.063711,4P - d18,CONDORES LAKOTA,296.97,0,67.2,0.0,1,89.09,33.26,0.0,0.0,0.0,0.0,2,3.0,0.0,0,2,0.0,0,False,True
8,OBSERVADO,III - PERIFERICA,13,4,200.0,0.0,-16.466998,-68.113937,DESCONOCIDO,DESCONOCIDO,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,False,True
8,APROBADO,V - SUR,18,2,570.48,396.12,-16.510744,-68.055005,4A - d18,ACHUMANI,570.48,0,0.0,0.0,0,223.16,35.72,0.0,0.0,0.0,0.0,2,3.4,0.0,0,2,0.0,0,False,True
8,APROBADO,IV - SAN ANTONIO,15,3,205.15,599.22,-16.49461,-68.11054,3 - d15,VILLA SAN ANTONIO,205.15,0,0.0,0.0,0,62.06,10.91,0.0,0.0,0.0,0.0,1,0.0,0.0,3,3,0.5,0,False,True
